,J+0_sun_exact,J+0_wind_exact,J+1_sun_exact,J+1_wind_exact,J+2_sun_exact,J+2_wind_exact,J+3_sun_exact,J+3_wind_exact
2022-02-22,47159920000.0,28734.525,63190810000.0,28563.639,49067460000.0,29830.318,75821480000.0,28958.924
2022-02-23,65164570000.0,13427.98,49857516000.0,14019.552,73740730000.0,13780.327,88124030000.0,15788.7
2022-02-24,52371470000.0,26417.906,76350780000.0,25752.578,88049530000.0,23599.555,62183244000.0,22903.752
2022-02-25,78597640000.0,21008.998,88560350000.0,20655.057,86149790000.0,22404.877,88176130000.0,18652.838
2022-02-26,89142845000.0,23471.455,83827430000.0,23617.29,84069876000.0,24336.412,65173324000.0,22507.729
2022-02-27,84240744000.0,20485.861,84907970000.0,20757.014,59500070000.0,20227.676,41766945000.0,21540.932
2022-02-28,87332725000.0,14451.461,67844760000.0,14593.878,51920044000.0,14839.315,58234536000.0,13938.296
2022-03-01,60701490000.0,14293.446,44376875000.0,14956.442,56544797000.0,15340.151,67540040000.0,13719.608
2022-03-02,42590396000.0,15065.211,51562373000.0,15911.871,56030036000.0,15366.228,66065023000.0,14888.359
2022-03-03,59560460000.0,12595.794,58679157000.0,12617.644,74121355000.0,15117.905,92888860000.0,16041.113
2022-03-04,57702940000.0,19630.178,72197050000.0,19172.709,90677200000.0,19576.697,99700820000.0,17213.787
2022-03-05,74044430000.0,17659.799,83335225000.0,17454.979,96959040000.0,16669.268,97825686000.0,14648.634
2022-03-06,90278300000.0,20689.697,98537340000.0,19937.674,90144310000.0,19125.703,91546845000.0,16035.179
2022-03-07,100184770000.0,21535.955,84005850000.0,22028.375,92822680000.0,19357.408,81542380000.0,21980.812
2022-03-08,81099900000.0,21889.814,90667990000.0,21672.691,74930320000.0,21669.842,57817104000.0,21694.799
2022-03-09,88854090000.0,21542.135,79964430000.0,22003.531,55543955000.0,18396.053,59137868000.0,18363.95
2022-03-10,70057130000.0,21623.861,48076760000.0,22141.36,51431547000.0,23218.766,43317250000.0,20189.158
2022-03-11,51740393000.0,34625.547,54679503000.0,35994.258,42947592000.0,34881.55,60593144000.0,34427.54
2022-03-12,53437374000.0,29180.58,40514347000.0,29735.031,77182320000.0,30700.672,67624010000.0,33745.637
2022-03-13,43020270000.0,28654.898,80537630000.0,28357.15,73547090000.0,28696.6,94102030000.0,28712.072
2022-03-14,80458410000.0,23136.273,68677150000.0,22821.32,83705400000.0,22437.26,58175095000.0,24960.0
2022-03-15,70706810000.0,25864.688,81902160000.0,25748.236,55344234000.0,25457.5,89314165000.0,25492.65
2022-03-16,85734310000.0,20056.197,69059720000.0,19587.834,91048360000.0,18813.682,96423590000.0,18796.182
2022-03-17,61520544000.0,25132.834,83662770000.0,26138.236,106160570000.0,24336.883,85292760000.0,24863.475
2022-03-18,86011510000.0,30407.373,104789850000.0,31333.844,89907970000.0,30777.674,105064006000.0,31293.725
2022-03-19,106871210000.0,25885.576,87407050000.0,26367.46,104482670000.0,27828.275,119358095000.0,29530.904
2022-03-20,89639354000.0,21329.543,104386494000.0,21359.852,112415110000.0,22440.045,118038990000.0,22628.666
2022-03-21,102723060000.0,23903.604,117677064000.0,25148.008,122629490000.0,23072.951,123510820000.0,24129.883
2022-03-22,117785090000.0,24360.602,122422760000.0,24677.771,122855360000.0,25830.822,123642050000.0,22556.377
2022-03-23,122549680000.0,17476.162,122464895000.0,18322.346,122235830000.0,19267.336,123728230000.0,20567.611
2022-03-24,123075985000.0,14546.923,123406910000.0,15989.933,123455440000.0,15654.254,124572070000.0,17182.232
2022-03-25,123183940000.0,18967.783,124701640000.0,19994.178,119426010000.0,19717.318,122929350000.0,19419.473
2022-03-26,125545120000.0,22637.424,123407760000.0,23166.244,118335410000.0,22242.307,75461230000.0,21820.459
2022-03-27,124812935000.0,16534.951,115154400000.0,16571.928,66776760000.0,16990.604,59031060000.0,15849.6455
2022-03-28,115597230000.0,14282.302,72793080000.0,15365.692,59891515000.0,13519.957,79473540000.0,13319.161
2022-03-29,77628900000.0,15855.569,53960090000.0,18707.93,65514856000.0,18734.586,105086580000.0,18537.393
2022-03-30,56027537000.0,17028.088,75107870000.0,18378.756,98401616000.0,21664.459,95898570000.0,24787.107
2022-03-31,73582520000.0,28691.244,84402990000.0,29699.555,101597450000.0,29595.555,115546720000.0,27519.4
2022-04-01,86847910000.0,38860.207,100291560000.0,40016.527,119513860000.0,37693.457,129307935000.0,37542.605
2022-04-02,98306620000.0,33233.08,122598520000.0,34022.258,115839340000.0,34809.77,65271136000.0,32096.889
2022-04-03,120921555000.0,20663.207,120002410000.0,22288.086,79886060000.0,22168.174,83039220000.0,23409.162
2022-04-04,115012125000.0,19388.346,81502370000.0,19017.918,64278938000.0,19421.807,45615284000.0,18200.209
2022-04-05,74023220000.0,20819.385,64848216000.0,20568.104,47962227000.0,21547.404,63722963000.0,22192.514
2022-04-06,62106240000.0,27527.44,48072974000.0,27659.13,54778913000.0,27743.35,132059480000.0,27031.553
2022-04-07,54136517000.0,45250.83,55071674000.0,44014.297,124030370000.0,42347.176,145791780000.0,42111.863
2022-04-08,53464478000.0,38357.746,124226716000.0,38577.207,147564720000.0,42112.31,137256830000.0,34372.805
2022-04-09,118666510000.0,21987.94,143048560000.0,21677.809,138360590000.0,21879.611,108340840000.0,22722.564
2022-04-10,142777070000.0,18306.686,135034980000.0,18050.703,102993590000.0,18979.52,91203630000.0,16874.85
2022-04-11,133353840000.0,31578.877,98734560000.0,32273.344,94971950000.0,30944.498,124214410000.0,30594.22
2022-04-12,101249835000.0,26219.807,96268020000.0,24850.967,131873096000.0,24931.771,143783790000.0,23853.414
2022-04-13,92636865000.0,12018.309,130269340000.0,12452.078,142186270000.0,12172.278,154005210000.0,12515.333
2022-04-14,134927340000.0,12259.62,140868710000.0,12763.087,147188940000.0,11895.091,152207690000.0,12215.456
2022-04-15,142029320000.0,16561.314,152033590000.0,15426.026,157810880000.0,16183.126,136653830000.0,14371.785
2022-04-16,151515140000.0,23387.498,155889170000.0,24322.1,137214430000.0,21343.092,110821540000.0,21270.654
2022-04-17,154888780000.0,19897.412,142889760000.0,19838.8,122762985000.0,19894.861,96904840000.0,15153.542
2022-04-18,137983360000.0,16545.338,120333600000.0,17277.137,94716720000.0,19855.424,95765860000.0,23799.844
2022-04-19,118694670000.0,17418.291,107838380000.0,19141.428,113694050000.0,18700.834,127735990000.0,20210.268
2022-04-20,100783520000.0,19930.889,111877060000.0,19434.496,130558165000.0,20151.674,79913520000.0,18181.5
2022-04-21,116361495000.0,17029.574,141194630000.0,17815.791,89612710000.0,17140.39,86407510000.0,14153.616
2022-04-22,137691790000.0,17915.525,79210460000.0,18810.4,82390630000.0,19258.299,114853940000.0,18666.982
2022-04-23,76437880000.0,25766.877,76598890000.0,26254.26,118836986000.0,28746.674,154960220000.0,26350.31
2022-04-24,79992365000.0,21288.918,120587820000.0,22505.693,149920700000.0,22122.217,162564150000.0,21659.932
2022-04-25,120251290000.0,17380.482,151909560000.0,17819.975,157845360000.0,18208.24,156720560000.0,18741.785
2022-04-26,151375450000.0,17637.123,158311350000.0,18002.025,148562050000.0,19022.174,135730135000.0,17656.846
2022-04-27,156973990000.0,22009.484,146808640000.0,23115.742,131680630000.0,23255.885,128150800000.0,22389.924
2022-04-28,152445370000.0,19002.062,142858670000.0,18381.045,151280090000.0,19623.213,138951330000.0,21101.521
2022-04-29,137978640000.0,17337.023,151577530000.0,17333.39,135680230000.0,15807.867,105129800000.0,15719.152
2022-04-30,146808640000.0,20506.6,139579950000.0,20110.125,107077630000.0,20579.389,109664860000.0,17701.205
2022-05-01,141616580000.0,16044.864,125376070000.0,16477.232,126602840000.0,16477.902,134172344000.0,17721.404
2022-05-02,124955080000.0,16125.673,127653330000.0,16880.795,131425930000.0,15971.003,149243100000.0,15730.665
2022-05-03,122555550000.0,16249.573,122014745000.0,17201.145,125601940000.0,18549.76,146488230000.0,16160.7295
2022-05-04,118829030000.0,15338.534,118542460000.0,14988.32,150307960000.0,14785.624,134254950000.0,16954.398
2022-05-05,124491825000.0,18102.602,143221080000.0,18632.477,139236880000.0,17846.38,143095630000.0,16653.686
2022-05-06,144235660000.0,21051.373,142538600000.0,21605.715,146181000000.0,21977.834,165729200000.0,22553.15
2022-05-07,141366540000.0,19222.832,145020140000.0,20412.693,163098500000.0,19726.412,160883180000.0,20767.771
2022-05-08,147716150000.0,19072.236,164702100000.0,19223.822,155153000000.0,19915.451,172759120000.0,20942.557
2022-05-09,165015540000.0,11551.251,159216780000.0,12144.259,170192760000.0,12334.746,144674910000.0,12915.364
2022-05-10,150914400000.0,15431.7,164510900000.0,15672.017,144667210000.0,16479.764,147645700000.0,14958.661
2022-05-11,163156430000.0,24198.35,133382080000.0,23735.14,148347100000.0,18035.307,153970310000.0,17382.686
2022-05-12,130350990000.0,16248.255,153794200000.0,15930.989,158667340000.0,17099.217,148440680000.0,18131.447
2022-05-13,145831900000.0,13489.032,161180200000.0,13895.259,137549090000.0,14428.984,136921510000.0,14802.733
2022-05-14,159779290000.0,13893.511,147703040000.0,13038.058,138485300000.0,14257.878,166181140000.0,14768.453
2022-05-15,148417220000.0,20236.682,141513980000.0,20638.89,167657830000.0,19739.316,169144060000.0,16201.5625
2022-05-16,144118550000.0,16335.458,166538580000.0,15990.024,166650940000.0,15953.5625,142785770000.0,14934.676
2022-05-17,165776410000.0,15474.691,164038850000.0,14904.718,149879780000.0,15170.59,148321760000.0,13370.21
2022-05-18,157873060000.0,15466.974,141321520000.0,16449.521,137792320000.0,16494.668,168986600000.0,18518.275
2022-05-19,144071440000.0,18778.096,138101370000.0,18936.055,174208090000.0,20405.467,142106820000.0,21719.732
2022-05-20,133157430000.0,25217.748,177333500000.0,24293.467,139355780000.0,25061.0,99596110000.0,24482.775
2022-05-21,168949190000.0,14107.876,130778730000.0,14382.121,92887810000.0,15396.535,109413040000.0,15825.042
2022-05-22,127258900000.0,17257.32,89504370000.0,18647.215,123524970000.0,19532.795,138766160000.0,19248.22
2022-05-23,90095010000.0,27052.555,131322820000.0,26679.648,141312590000.0,25963.383,151686870000.0,28431.26
2022-05-24,121843890000.0,21606.71,144709930000.0,21580.121,154657260000.0,20938.492,161382660000.0,24384.43
2022-05-25,149853520000.0,21339.424,144682500000.0,20795.494,156604630000.0,21316.994,184678880000.0,23518.31
2022-05-26,152423960000.0,20099.443,159252410000.0,19711.023,182483290000.0,20098.365,180708250000.0,20998.28
2022-05-27,150176200000.0,20279.275,180265750000.0,21542.877,183896470000.0,20917.266,178679740000.0,21420.7
2022-05-28,179582810000.0,23493.908,181437150000.0,24303.717,175168130000.0,26908.709,173813990000.0,27343.998
2022-05-29,180473330000.0,24160.344,170790130000.0,24708.336,156252050000.0,25305.133,153696600000.0,26321.055
2022-05-30,174626570000.0,15229.996,160125030000.0,14538.34,163711880000.0,14935.181,154406550000.0,15467.4795
2022-05-31,150657940000.0,14319.676,160833060000.0,14136.785,163508550000.0,13263.938,119885460000.0,12882.667
2022-06-01,156729210000.0,14791.757,154652440000.0,14624.173,136368685000.0,13785.261,133466160000.0,14560.495
2022-06-02,150715270000.0,17812.53,141349650000.0,17880.682,139853920000.0,17700.852,140764940000.0,19046.014
2022-06-03,126563940000.0,15208.106,142165500000.0,14075.177,133250875000.0,14351.664,154569340000.0,15950.044
2022-06-04,139763910000.0,15436.785,138104370000.0,14091.202,138492840000.0,15662.144,132087644000.0,17419.045
2022-06-05,111696760000.0,20867.244,132358190000.0,20885.81,137213310000.0,20504.07,127407030000.0,20672.748
2022-06-06,124122400000.0,17480.951,140919240000.0,18045.826,88594020000.0,15515.824,157701110000.0,19013.271
2022-06-07,136495070000.0,22119.96,93293580000.0,23478.908,137274100000.0,21831.41,171508530000.0,23344.256
2022-06-08,94836170000.0,24098.818,150898870000.0,25733.195,169091990000.0,23654.432,181881730000.0,23299.139
2022-06-09,153960350000.0,22943.312,171813370000.0,23109.182,182313000000.0,27063.916,168286490000.0,21646.943
2022-06-10,174838780000.0,15736.044,179778620000.0,16201.685,180529700000.0,15849.129,177824560000.0,15878.792
2022-06-11,174384450000.0,13950.973,171795780000.0,14504.608,184324520000.0,14832.937,185879230000.0,13535.07
2022-06-12,168605200000.0,18175.99,180713900000.0,19360.578,181590980000.0,18327.564,181091300000.0,17671.062
2022-06-13,182462550000.0,18665.877,185726470000.0,19176.453,177319350000.0,19032.498,185400750000.0,17625.9
2022-06-14,184281870000.0,17093.166,179524520000.0,17067.99,179894850000.0,17620.3,186900900000.0,17667.078
2022-06-15,,,,16701.393,,16300.278,,17668.12
2022-06-16,180284460000.0,14763.5625,187580940000.0,13096.438,184926370000.0,15321.042,161408290000.0,15608.909
2022-06-17,186572320000.0,13846.944,184682790000.0,14553.843,153630970000.0,14390.403,142939390000.0,16099.91
2022-06-18,182356660000.0,20581.203,161758600000.0,21671.475,159472580000.0,24768.637,159991170000.0,15020.117
2022-06-19,161697890000.0,29332.385,145421500000.0,30265.256,142072680000.0,30909.393,94930630000.0,30420.412
2022-06-20,146581390000.0,21525.834,126263640000.0,22768.969,100217440000.0,23519.842,130603975000.0,21847.521
2022-06-21,134297390000.0,17470.25,116573900000.0,17194.709,136654880000.0,19603.31,115164150000.0,21478.506
2022-06-22,108948480000.0,16029.152,136578180000.0,15761.339,113963500000.0,16161.583,110626440000.0,16233.0
2022-06-23,132495070000.0,13939.207,119167030000.0,13462.868,116743864000.0,16266.409,133983110000.0,15269.832
2022-06-24,117963460000.0,21888.125,116994700000.0,20230.541,117036020000.0,20641.568,109853670000.0,20330.564
2022-06-25,116728880000.0,17917.646,112562220000.0,18622.969,124674340000.0,17993.152,150620340000.0,17878.432
2022-06-26,101925740000.0,15513.38,130661230000.0,15746.921,161605390000.0,17240.531,155865970000.0,18428.12
2022-06-27,122470360000.0,17015.357,174966180000.0,16720.396,164063970000.0,15196.851,119071640000.0,13946.87
2022-06-28,168761520000.0,15732.095,160443240000.0,16001.464,107337350000.0,15989.446,176459680000.0,14660.816
2022-06-29,162779530000.0,15145.335,101460640000.0,15175.489,173867470000.0,15338.524,185316670000.0,15393.117
2022-06-30,88639930000.0,16855.623,170483090000.0,17162.273,182031190000.0,17380.533,169389920000.0,17658.969
2022-07-01,166344410000.0,15314.227,183309090000.0,15284.282,166642290000.0,15140.716,153281720000.0,14643.847
2022-07-02,184321150000.0,12558.406,171429660000.0,12098.017,166231900000.0,12855.835,179644730000.0,13083.421
2022-07-03,167717040000.0,16834.658,152138420000.0,16328.642,183453480000.0,14353.315,166882970000.0,15296.703
2022-07-04,147396890000.0,17074.447,181475210000.0,17695.436,171585700000.0,16092.269,167946220000.0,15767.168
2022-07-05,178825660000.0,19326.346,173731940000.0,19510.139,173872250000.0,19395.322,182903240000.0,18730.486
2022-07-06,171835670000.0,21557.287,168140820000.0,21510.865,183394070000.0,20841.775,181191110000.0,21831.654
2022-07-07,163621030000.0,23805.85,183446680000.0,24664.322,177537550000.0,25068.422,180990250000.0,24918.56
2022-07-08,181816750000.0,23073.414,175547580000.0,23199.97,182193160000.0,23845.63,180743110000.0,24796.264
2022-07-09,175460550000.0,20478.904,181765180000.0,21326.715,181165400000.0,21911.592,171600220000.0,21402.312
2022-07-10,180131860000.0,23875.29,181029730000.0,23777.326,163998600000.0,24456.578,175412450000.0,26431.877
2022-07-11,180063420000.0,20708.248,174878640000.0,20748.629,177490400000.0,22070.688,158455140000.0,22084.258
2022-07-12,169447230000.0,15518.901,165008600000.0,16418.006,172194330000.0,14771.464,179096520000.0,18284.25
2022-07-13,154830730000.0,13214.401,174658450000.0,13136.272,179150200000.0,13515.149,177576800000.0,16806.291
2022-07-14,172951900000.0,18908.193,178797580000.0,18923.414,176783950000.0,19625.96,174986890000.0,19142.533
2022-07-15,175816110000.0,21044.39,176262870000.0,20758.791,173494860000.0,21678.9,176196580000.0,22287.533
2022-07-16,173871200000.0,21132.287,171976230000.0,22273.875,176656150000.0,22219.945,164452240000.0,23291.344
2022-07-17,169664000000.0,20167.95,176783080000.0,21075.428,167184430000.0,20710.213,146905300000.0,21858.297
2022-07-18,174893370000.0,19219.014,164199990000.0,20102.057,131554080000.0,21243.406,166643430000.0,18072.023
2022-07-19,162666480000.0,23740.49,125770860000.0,24255.797,158442780000.0,26303.525,127800280000.0,27163.725
2022-07-20,123338880000.0,19491.111,162542850000.0,19504.678,121319650000.0,22721.498,143799290000.0,25493.498
2022-07-21,156787650000.0,14885.859,125125840000.0,15640.1875,145432020000.0,16434.22,172518670000.0,16793.236
2022-07-22,122660240000.0,17750.256,145450960000.0,17790.76,170931500000.0,17816.117,126691380000.0,16849.834
2022-07-23,141538620000.0,14919.841,170167960000.0,15755.055,123370340000.0,16274.669,150169910000.0,15428.874
2022-07-24,169266600000.0,13477.301,127454760000.0,12861.043,155268640000.0,13947.832,166969080000.0,13035.517
2022-07-25,132501450000.0,27031.955,155987120000.0,25646.451,157288760000.0,24697.041,113221960000.0,23182.057
2022-07-26,141213100000.0,20549.744,160362070000.0,20685.217,142662100000.0,21185.555,98412134000.0,22506.658
2022-07-27,158373180000.0,17480.475,126313330000.0,18634.8,131234300000.0,17566.553,155285650000.0,17294.656
2022-07-28,127419600000.0,14686.448,111501165000.0,14982.067,157826550000.0,14920.742,160363220000.0,17210.924
2022-07-29,106587670000.0,13976.785,158227900000.0,14628.715,148558640000.0,14247.179,159932020000.0,15822.425
2022-07-30,152385550000.0,16299.387,157373430000.0,16287.758,149320700000.0,17012.91,155038580000.0,16835.99
2022-07-31,155018800000.0,18457.133,146745310000.0,18021.348,157588650000.0,18723.781,161659100000.0,16611.098
2022-08-01,142925860000.0,16596.764,162159690000.0,16528.361,162715570000.0,16502.232,143025600000.0,15329.153
2022-08-02,156796780000.0,13616.099,162220340000.0,13287.157,135949520000.0,13573.397,145172270000.0,13617.934
2022-08-03,158667150000.0,12718.067,137210855000.0,12784.6455,134323600000.0,13617.915,152785030000.0,14048.069
2022-08-04,138383330000.0,17502.81,134447940000.0,18733.67,158414590000.0,18975.623,165570640000.0,19312.154
2022-08-05,121399720000.0,22274.625,157204500000.0,23356.28,162850110000.0,23238.756,164536290000.0,24972.146
2022-08-06,152785200000.0,26221.803,163096840000.0,25955.25,162995300000.0,26433.982,163098360000.0,26372.756
2022-08-07,162542100000.0,24999.678,162355120000.0,25802.812,161524150000.0,24712.494,160157730000.0,25889.705
2022-08-08,160114870000.0,23624.393,160121590000.0,24335.037,161396260000.0,24689.736,155619360000.0,23224.408
2022-08-09,158452880000.0,23580.992,159658700000.0,24094.1,154900370000.0,23708.408,157816620000.0,24234.275
2022-08-10,158973700000.0,21684.217,158466880000.0,22561.297,159414290000.0,22734.717,157051850000.0,21834.248
2022-08-11,156193650000.0,19935.229,158042780000.0,20863.115,154778660000.0,21234.436,97746256000.0,21214.979
2022-08-12,155535310000.0,18090.398,151840000000.0,19628.967,89190140000.0,19982.994,107802460000.0,19687.979
2022-08-13,152647700000.0,17550.955,88195760000.0,17534.7,109326600000.0,18234.85,107126230000.0,17433.6
2022-08-14,84495040000.0,18540.629,108587730000.0,18820.592,100476930000.0,18999.764,101784680000.0,19133.53
2022-08-15,104756950000.0,18812.38,103705660000.0,19443.97,103720680000.0,19981.111,101073550000.0,20294.42
2022-08-16,103628685000.0,13621.624,102345340000.0,14345.43,97337720000.0,15777.54,105935045000.0,15956.8125
2022-08-17,97037570000.0,13162.188,104704100000.0,12936.68,108036784000.0,14343.177,124916010000.0,15999.1455
2022-08-18,100919970000.0,17121.428,105369650000.0,16691.404,129067336000.0,15638.993,109834306000.0,15625.239
2022-08-19,99187245000.0,21357.674,135222740000.0,21426.193,106723840000.0,20624.07,111395010000.0,21224.047
2022-08-20,131118440000.0,14790.737,110218930000.0,15228.516,112463740000.0,14733.603,125153870000.0,17075.053
2022-08-21,97213874000.0,13791.478,111232320000.0,15024.812,125303590000.0,15012.277,133784500000.0,15856.62
2022-08-22,111698830000.0,16240.28,115661990000.0,16085.864,131939090000.0,18425.084,105639670000.0,19136.494
2022-08-23,112005730000.0,13163.345,130325004000.0,13417.716,107827134000.0,13326.621,104386590000.0,14183.523
2022-08-24,131052310000.0,12787.394,108824770000.0,12591.948,109760590000.0,13021.034,123262500000.0,13738.82
2022-08-25,105806020000.0,18418.994,109441450000.0,19353.605,126439830000.0,18154.846,125935220000.0,20083.088
2022-08-26,105308815000.0,19594.236,127871220000.0,20461.643,135102956000.0,20892.979,128362510000.0,20323.768
2022-08-27,124619650000.0,17827.777,130820850000.0,17644.254,124616030000.0,18278.55,94849790000.0,18635.729
2022-08-28,127344320000.0,18382.393,122460970000.0,18949.92,93632280000.0,18940.68,123262760000.0,19358.396
2022-08-29,123799440000.0,18410.354,107038930000.0,18676.26,119964795000.0,19608.094,104351830000.0,19701.912
2022-08-30,95501220000.0,15153.57,113133960000.0,16906.717,98715615000.0,16573.877,81372905000.0,18021.604
2022-08-31,104743560000.0,16495.271,112947270000.0,16987.486,89725570000.0,17645.965,92687040000.0,18502.027
2022-09-01,106468330000.0,14313.46,88192700000.0,14713.987,98269430000.0,13931.417,105747380000.0,15834.297
2022-09-02,87567210000.0,14580.833,97621890000.0,14346.267,117541140000.0,13761.805,105485990000.0,12503.073
2022-09-03,92690014000.0,15431.827,118187336000.0,15538.032,108665930000.0,14798.331,97843250000.0,14759.851
2022-09-04,115225200000.0,15862.94,110405520000.0,15698.176,97625540000.0,15116.739,80575270000.0,14437.309
2022-09-05,106041940000.0,17531.4,99319650000.0,17965.518,85901980000.0,19538.393,102097220000.0,17202.418
2022-09-06,96662030000.0,17311.193,80405430000.0,17890.584,100645730000.0,19746.541,93128160000.0,18054.52
2022-09-07,78129690000.0,18863.877,103526334000.0,18169.51,93467670000.0,19556.39,99965960000.0,21317.85
2022-09-08,96677450000.0,24891.734,92275515000.0,24150.213,96190660000.0,22790.055,111196275000.0,22005.225
2022-09-09,89751314000.0,28002.586,94902920000.0,28323.479,114846660000.0,26581.523,110801650000.0,27031.016
2022-09-10,96111120000.0,18026.99,114490590000.0,19170.287,111079555000.0,19511.26,71648805000.0,17152.258
2022-09-11,115091685000.0,13569.157,108103190000.0,13551.065,55007314000.0,13875.794,71927235000.0,13157.02
2022-09-12,108415290000.0,16926.04,71520550000.0,16238.53,61907108000.0,17424.062,91141640000.0,17905.055
2022-09-13,64632898000.0,19739.568,70369440000.0,19738.291,89447600000.0,18932.914,100156650000.0,18688.973
2022-09-14,65625125000.0,19451.826,80987590000.0,18726.58,89118340000.0,17932.139,103272870000.0,19788.086
2022-09-15,83895100000.0,17228.314,94516980000.0,18427.787,107047500000.0,16438.027,106486790000.0,16412.527
2022-09-16,94350150000.0,22258.266,109275680000.0,22854.139,110067120000.0,24136.623,108409620000.0,20679.799
2022-09-17,110818120000.0,22793.646,110664884000.0,23922.385,109153714000.0,23746.865,104222000000.0,26600.229
2022-09-18,110627640000.0,17175.9,110518740000.0,17974.363,108856870000.0,18198.908,108440450000.0,16581.46
2022-09-19,110830720000.0,18054.377,104092460000.0,18576.73,109195330000.0,18270.523,109082970000.0,18691.584
2022-09-20,103615670000.0,16970.916,108822650000.0,17826.139,107800230000.0,17694.258,78457730000.0,18871.877
2022-09-21,108428665000.0,16853.154,107378926000.0,17296.916,63884950000.0,18006.398,64888406000.0,17671.74
2022-09-22,106933370000.0,10268.01,54456107000.0,11030.987,52709884000.0,11567.978,73685010000.0,12929.86
2022-09-23,55956775000.0,11674.258,60039570000.0,11077.444,74836380000.0,11398.388,60390130000.0,10753.346
2022-09-24,59866853000.0,15553.56,74920346000.0,17116.459,54221144000.0,14082.118,73555510000.0,14650.133
2022-09-25,73230440000.0,15528.188,54728310000.0,16515.209,58157900000.0,16319.931,48286024000.0,12284.819
2022-09-26,57893286000.0,27271.125,66264797000.0,26344.541,44827656000.0,26992.672,54892003000.0,27091.752
2022-09-27,63587230000.0,31458.361,48987670000.0,31369.492,62732165000.0,31311.867,87456416000.0,28521.826
2022-09-28,47304210000.0,26906.967,59801180000.0,27985.537,83093455000.0,27784.19,49063790000.0,27164.857
2022-09-29,57752930000.0,14535.704,84005320000.0,15669.954,46758280000.0,13745.613,54297770000.0,14897.402
2022-09-30,76936350000.0,18128.67,42171662000.0,17017.137,52872446000.0,19021.309,81165750000.0,15912.507
2022-10-01,45197470000.0,30647.312,59644300000.0,30333.088,75602260000.0,29952.584,86637150000.0,31533.633
2022-10-02,59105427000.0,21079.697,78584740000.0,18820.64,86988470000.0,18010.508,88535600000.0,16051.593
2022-10-03,74931370000.0,13903.526,88712480000.0,14141.933,84212335000.0,11862.726,77588050000.0,12385.945
2022-10-04,85798420000.0,11929.293,83393280000.0,11322.446,78584810000.0,10394.645,81158540000.0,10495.316
2022-10-05,83783290000.0,23730.969,80193620000.0,22095.47,79395620000.0,21158.896,63580340000.0,21001.357
2022-10-06,76683444000.0,12624.782,78789150000.0,12864.593,72324710000.0,12633.944,76119800000.0,12106.265
2022-10-07,73294690000.0,11285.452,67941450000.0,11534.758,78162395000.0,11307.015,66275443000.0,11863.915
2022-10-08,59626332000.0,13926.512,77474780000.0,14503.345,63775850000.0,13894.168,64521716000.0,15309.313
2022-10-09,78376710000.0,15832.198,52252385000.0,15893.257,64894878000.0,15477.8,72464830000.0,16317.231
2022-10-10,55372464000.0,15218.169,58773676000.0,15994.513,65019322000.0,14422.47,53135490000.0,12237.183
